feature,word,idf,pos_mean,pos_var,neg_mean,neg_var
0,subject,0.0,0.0,1e-09,0.0,1e-09
1,enron,0.5510008153574376,0.012044001053068716,0.0005859121649757394,0.0,1e-09
2,methanol,2.036796933469076,0.0012687182408224755,0.0002072815860156846,0.0,1e-09
3,meter,0.800339230094103,0.008315395776765558,0.0004690583655190476,2.3168220598068676e-06,7.3231087301195134e-09
4,follow,0.8660721352345399,0.0024525428931199164,7.184098821175043e-05,0.0004058392419258043,3.971606872544008e-06
5,note,1.2083405647740366,0.0015421776004561514,0.00012975293529153366,0.0010625497236857065,0.0003189965728438134
6,give,1.073755103126706,0.0011627543669618554,3.977436948830606e-05,0.0010720852003393037,4.318878448983688e-05
7,monday,1.3912712483600234,0.001007378820222981,3.545130129874262e-05,6.62301408990419e-05,4.2477126081858103e-07
8,preliminary,2.085101613043631,0.0005191861866438876,4.933979363264352e-05,2.0398316296860092e-06,5.901555605256693e-09
9,flow,1.0123544770014161,0.004955068674318524,0.0003290756049535598,0.00012455471184466188,3.4048068305724973e-06
10,data,1.5831567745989363,0.0006352757694503697,4.0742297630656954e-05,0.00017408081482345056,1.720800528260402e-06
11,provide,1.1772478362556233,0.000822965991265655,2.279389191604071e-05,0.0006352471159296342,9.510311909026089e-06
12,daren,0.7048903713320249,0.00454128115646689,0.00010537407509685718,0.0,1e-09
13,please,0.4361678972475623,0.004543342362208794,6.456775246453085e-05,0.0013483494812041787,1.6882383681539907e-05
14,override,2.7714824900716293,0.00011174543922268957,8.928646200080067e-06,0.0,1e-09
15,pop,1.6820820788423183,0.0007191470096225548,5.053180630761567e-05,9.838966282230782e-05,1.8284052312054014e-06
16,daily,1.15418253218693,0.004755508223219769,0.00043518290636388737,0.00015500630534650783,2.53015286565588e-06
17,volume,0.8227901453950675,0.0047364926888738565,0.00020020863121269258,0.00015555104822013077,4.343776465909997e-06
18,presently,2.048378806018891,0.00010829631207947195,5.0897025342503e-06,0.00013204533505890525,2.542585898043289e-06
19,zero,1.5871967524006765,0.0009363101616438808,5.5535905276240705e-05,0.00013413430600816764,5.265002801408176e-06
20,reflect,1.6298087958196412,0.0008498733073437321,4.563236674877909e-05,3.89947924077956e-06,1.891259537544092e-08
21,activity,1.467361417430506,0.0015143129959152993,0.00012447755430248454,0.0001853749719309701,7.475991346869643e-06
22,obtain,2.025515923059387,0.00016295352374633983,6.37275371800895e-06,0.0002851731419497178,9.663131436591932e-06
23,gas,0.6532650186997748,0.0070420998485137215,0.00024842942704748,0.00014813624116798293,2.2681343299024584e-06
24,control,1.4767014436846495,0.0007998311357283919,4.957222565989722e-05,0.000570315801441083,1.8784279864386472e-05
25,change,0.8801840278092437,0.004353176109884722,0.0002124481231228943,0.0007008809546943868,5.158366055953275e-05
26,need,0.6476308491045435,0.003118689866495305,5.921424895653806e-05,0.0019200413769180618,7.000858332945527e-05
27,asap,1.9263844500573724,0.0003353026082194226,1.05658609608496e-05,3.694411019822752e-05,1.3258372745309086e-06
28,economics,2.470452494407648,0.0001608156406846931,9.596403756806064e-06,3.880332507786963e-06,1.8737122877024174e-08
29,purpose,1.7905057273850598,0.00025290936355362183,9.65793072459303e-06,0.0003285842593680199,1.917446170052521e-05
30,hpl,0.6633041934185817,0.013878897068136489,0.0008759491309490755,0.0,1e-09
31,nom,0.952879604696238,0.008882066288762104,0.000605906029740704,0.0,1e-09
32,january,1.3048266690301318,0.0031761671411632813,0.0004090187751891276,0.0002874055884064198,7.208290816254066e-06
33,see,0.6954144794481474,0.007416114537551197,0.00033854529167299673,0.0014971629183790165,4.352117737130477e-05
34,attach,0.8179298846406171,0.007791080528431618,0.0004185484215577184,0.00017601758262376203,1.6302586062086164e-05
35,file,0.9272716709622658,0.008732116469893749,0.0005816187257197023,0.00029291343742607963,2.2155203195432553e-05
